name,name:en
中山北二路/大柏树,North Zhongshan No.2 Road/Dabaishu
延安高架路,Yan'an Elevated Road
比利时领事馆,Belgian Embassy
内环高架路,Inner Ring Elevated Rd
五洲大道,Wuzhou Avenue
军工路,Jungong Road
逸仙高架路/绕城高速,Yixian Elevated Road/Raocheng Expressway
南北高架路 卢浦大桥,N-S Elevated Road  Lupu Bridge
南北高架路 共和新路立交方向,N-S Elevated Rd To Gonghexin Rd Interchange
卢浦大桥 S20 浦东机场,Lupu Bridge(S20 Pudong Airport)
杨高南路 林海公路,South Yanggao Road; Linhai Highway
龙华西路,Longhua Rd(W)
桂林路 上海南站,Guilin Rd  Shanghai Railstation (S)
瑞金南路,Ruijin Road(South)
沪南公路,Hunan Highway
徐家汇路,Xujiahui Road
淮海中路,Huaihai Road (Middle)
中山东一路汉口路,East Zhongshan No. 1 Road Hankou Road
南北高架路,North-South Elevated Road
G50 湖州方向 延安高架路,G50 To Huzhou  Yan'an Elevated
申江路,Shenjiang Road
中山北一路/逸仙路/中环路/翔殷路隧道,North Zhongshan No.1 Road/Yixian Road/Middle Ring Road/Xiangyin Road Tunnel
铜川路,Tongchuan Rd.
金沙江路,Jinshajiang Road
长宁区,Changning
青村镇,Qingcun
虹口区,Hongkou
黄浦区,Huangpu
嘉定区,Jiading
静安区,Jing'an
青浦区,Qingpu
普陀区,Putuo
上海市,Shanghai
太仓市,Taicang
松江区,Songjiang
徐汇区,Xuhui
五角场街道,Wujiaochang
中石化,Sinopec
好德,All-Days
海伦路,Hailun Road
花桥,Huaqiao
虹桥枢纽 1号航站楼 沪青平公路,Hongqiao Hub  Terminal 1  G318 Huqingping Highway
延安高架路 外滩方向,Yan'an Elevated To The Bund
United Family,Shanghai United Family Hospital
虹许路,Hongxu Rd
和平电影院,Peace Cinema
世纪大道,Century Avenue
国和路民府路,Guohe Road Minfu Road
民京路世界路,Minjing Road Shijie Road
市光路,Shiguang Road
嫩江路,Nenjiang Road
翔殷路,Xiangyin Road
黄兴公园,Huangxing Park
延吉中路,Middle Yanji Road
黄兴路,Huangxing Road
江浦路,Jiangpu Road
鞍山新村,Anshan Xinchun
曲阳路,Quyang Road
虹口足球场,Hongkou Football Stadium
西藏北路,North Xizang Road
中兴路,Zhongxing Road
曲阜路,Qufu Road
人民广场,People's Square
大世界,Dashijie
陆家浜路,Lujiabang Road
开鲁路邮政所,Kailu Road Post Office
市东医院,Shidong
外白渡桥,Waibaidu Bridge
殷行派出所,Yinhang Police Station
南翔,Nanxiang
马陆,Malu
S20 外环隧道方向,S20 To Outer Ring Tunnel
朱桥,Zhuqiao
林海公路,Linhai Highway
S20 虹桥枢纽方向,S20 To Hongqiao Hub
G312 曹安公路,G312 Cao'an Hwy.
The Journeys Cafe,The Journeys Cafe
长途汽车客运站,Long Distance Bus Terminal
外环高速/华夏高架路/浦东机场,Outer Ring Expressway/Huaxia Elevated Road/Pudong International Airport
中国石油,Sinopec
南翔馒头,Nanxiang Steamed Bun
殷行路新江湾城,Yinhang Road New Jiangwan Town
新江湾城,Xinjiangwancheng
国权路,Guoquan Road
殷高东路,East Yingao Road
淞沪路,Songhu Road
沃尔玛购物广场,Wal-Mart Superstore
南京东路,East Nanjing Road
麦当劳,McDonald's
肯德基,Kentucky Fried Chicken
同济大学,Tongji University
邮电新村,Youdian Xincun
新闸路,Xinzha Road
中山北路,North Zhongshan Road
彭浦新村,Pengpu Xincun
通河新村,Tonghe Xincun
共富新村,Gongfu Xincun
宝安公路,Bao'an Highway
友谊西路,West Youyi Road
延长路,Yanchang Road
上海马戏城,Shanghai Circus World
汶水路,Wenshui Road
共康路,Gongkang Road
呼兰路,Hulan Road
莘庄,Xinzhuang
张江高科,Zhangjiang Hi-Tech Park
外环路,Waihuanlu
莲花路,Lianhua Road
锦江乐园,Jinjiang Park
漕宝路,Caobao Road
徐家汇,Xujiahui
衡山路,Hengshan Road
陕西南路,South Shaanxi Road
黄陂南路,South Huangpi Road
上海科技馆,Shanghai Science and Technology Museum
